t,i,j,k,v,q
2010,4,8,610690,        0.192,        0.003
2010,4,8,621590,        0.845,        0.005
2010,4,8,630900,        0.296,        0.017
2010,4,8,851981,        0.150,        0.001
2010,4,8,852872,        0.188,        0.014
2010,4,8,852910,        0.019,        0.001
2010,4,8,950410,        0.150,        0.001
2010,4,12,121190,       18.709,       23.370
2010,4,12,830210,       25.670,        1.395
2010,4,12,851769,       51.937,        0.072
2010,4,12,940330,        6.847,        0.056
2010,4,24,080620,        0.277,        0.082
2010,4,24,220290,       17.797,       30.841
2010,4,24,284210,      359.077,       56.829
2010,4,24,290522,      138.762,        0.055
2010,4,24,841231,        0.105,        0.001
2010,4,24,842290,        0.326,           NA
2010,4,24,843890,        0.023,           NA
2010,4,24,847130,        0.827,        0.005
2010,4,24,847330,       15.329,        0.090
2010,4,24,847790,       12.925,        0.076
2010,4,24,852329,       11.193,        0.637